Date,Competition,Home Team,Home Score,Away Team,Away Score,Result,Wins,Losses,Draws,Win Percentage
24/10/2023,"UEFA Champions League (Group Stage, Matchday 3 of 6)",Man United,1,Copenhagen,0,W,,,,
29/10/2023,Premier League,Man United,0,Man City,3,L,,,,
01/11/2023,EFL Cup Â· Round of 16,Man United,0,Newcastle,3,L,,,,
04/11/2023,Premier League,Fulham,0,Man United,1,W,,,,
08/11/2023,"UEFA Champions League (Group Stage, Matchday 4 of 6)",Copenhagen,4,Man United,3,L,,,,
11/11/2023,Premier League,Man United,1,Luton Town,0,W,,,,
26/11/2023,Premier League,Everton,0,Man United,3,W,,,,
29/11/2023,"UEFA Champions League (Group Stage, Matchday 5 of 6)",Galatasaray,3,Man United,3,D,,,,
02/12/2023,Premier League,Newcastle,1,Man United,0,L,,,,
06/12/2023,Premier League,Man United,2,Chelsea,1,W,,,,
09/12/2023,Premier League,Man United,0,Bournemouth,3,L,,,,
12/12/2023,"UEFA Champions League (Group Stage, Matchday 6 of 6)",Man United,0,Bayern Munich,1,L,,,,
17/12/2023,Premier League,Liverpool,0,Man United,0,D,,,,
23/12/2023,Premier League,West Ham,2,Man United,0,L,,,,
26/12/2023,Premier League,Man United,3,Aston Villa,2,W,,,,
30/12/2023,Premier League,Nottm Forest,2,Man United,1,L,,,,
08/01/2024,FA Cup Â· 3rd Round,Wigan Athletic,0,Man United,2,W,,,,
14/01/2024,Premier League,Man United,2,Tottenham,2,D,,,,
28/01/2024,FA Cup Â· 4th Round,Newport County,2,Man United,4,W,,,,
01/02/2024,Premier League,Wolves,3,Man United,4,W,,,,
04/02/2024,Premier League,Man United,3,West Ham,0,W,,,,
11/02/2024,Premier League,Aston Villa,1,Man United,2,W,,,,
18/02/2024,Premier League,Luton Town,1,Man United,2,W,,,,
24/02/2024,Premier League,Man United,1,Fulham,2,L,,,,
28/02/2024,FA Cup Â· 5th Round,Nottm Forest,0,Man United,1,W,,,,
03/03/2024,Premier League,Man City,3,Man United,1,L,,,,
09/03/2024,Premier League,Man United,2,Everton,0,W,,,,
17/03/2024,FA Cup Â· Quarter Finals,Man United,4,Liverpool,3,W,,,,
30/03/2024,Premier League,Brentford,1,Man United,1,D,,,,
04/04/2024,Premier League,Chelsea,4,Man United,3,L,,,,
07/04/2024,Premier League,Man United,2,Liverpool,2,D,,,,
13/04/2024,Premier League,Bournemouth,2,Man United,2,D,,,,
21/04/2024,FA Cup Â· Semi-Finals (FTâ€¯(P)),Coventry,3â€¯(2),Man United,3â€¯(4),W,,,,
24/04/2024,Premier League,Man United,4,Sheffield United,2,W,,,,
27/04/2024,Premier League,Man United,1,Burnley,1,D,,,,
06/05/2024,Premier League,Crystal Palace,4,Man United,0,L,,,,
12/05/2024,Premier League,Man United,0,Arsenal,1,L,,,,
15/05/2024,Premier League,Man United,3,Newcastle,2,W,,,,
19/05/2024,Premier League,Brighton,0,Man United,2,W,,,,
25/05/2024,FA Cup Â· Final,Man City,1,Man United,2,W,,,,
15/07/2024,Friendly,Rosenborg,1,Man United,0,L,,,,
20/07/2024,Friendly,Rangers,0,Man United,2,W,,,,
28/07/2024,Friendly (FTâ€¯(P)),Arsenal,2â€¯(3),Man United,1â€¯(4),L,,,,
01/08/2024,Friendly,Man United,3,Real Betis,2,W,,,,
04/08/2024,Friendly,Man United,0,Liverpool,3,L,,,,
10/08/2024,FA Community Shield Â· Final (FTâ€¯(P)),Man City,1â€¯(7),Man United,1â€¯(6),L,,,,
16/08/2024,Premier League,Man United,1,Fulham,0,W,,,,
24/08/2024,Premier League,Brighton,2,Man United,1,L,,,,
01/09/2024,Premier League,Man United,0,Liverpool,3,L,,,,
14/09/2024,Premier League,Southampton,0,Man United,3,W,,,,
17/09/2024,EFL Cup Â· Third Round,Man United,7,Barnsley,0,W,,,,
21/09/2024,Premier League,Crystal Palace,0,Man United,0,D,,,,
25/09/2024,UEFA Europa League (Matchday 1 of 8),Man United,1,Twente,1,D,,,,
28/09/2024,Premier League,Man United,0,Tottenham,3,L,,,,
16/08/2016,UEFA Champions League · Play-off · Leg 1 of 2,Man City,2,Sunderland,1,W,138,28,23,73.01587302
16/08/2016,UEFA Champions League · Play-off · Leg 2 of 2,FCSB,0,Man City,5,W,,,,
20/08/2016,Premier League,Stoke City,1,Man City,4,W,,,,
24/08/2016,UEFA Champions League · Play-off · Leg 2 of 2,Man City,1,FCSB,0,W,,,,
28/08/2016,Premier League,Man United,1,Man City,2,W,,,,
10/09/2016,UEFA Champions League · Group Stage,Man City,4,Mönchengladbach,0,W,,,,
14/09/2016,Premier League,Man City,4,Bournemouth,0,W,,,,
17/09/2016,EFL Cup Third Round,Swansea,1,Man City,2,W,,,,
21/09/2016,Premier League,Swansea,1,Man City,3,W,,,,
